pseudo_user,VOC건수,대표공항,주VOC유형,주카테고리
8a287115417cd3c5,3,제주공항,불편불만,직원관련
8978b7e1d3e46fa2,3,제주공항,불편불만,직원관련
88b48dd02b546f9b,3,김포공항,불편불만,직원관련
83c9ce8135ceb8bb,3,제주공항,불편불만,직원관련
2230bfd870d4991f,3,제주공항,불편불만,직원관련
86751871fcfda47c,3,제주공항,불편불만,보안검색
d727b87f780b03da,3,김포공항,불편불만,직원관련
d7688c40bf7d8c98,3,김포공항,불편불만,주차장
d68e49875b806723,3,김포공항,불편불만,직원관련
d99b76619f43cff9,3,김포공항,불편불만,직원관련
86087e0f825e971e,3,김해공항,불편불만,ID체크
851aeb5da4bcc047,3,제주공항,불편불만,직원관련
7f156cdff9bbe41d,3,김해공항,불편불만,직원관련
2e7c3251e28780d2,3,김포공항,불편불만,직원관련
641375a9d1305487,3,김포공항,불편불만,주차장
638d811211b7ac7e,3,제주공항,불편불만,직원관련
20cce0656ebdc1f3,3,대구공항,불편불만,직원관련
886fd3a48d9a2c79,3,김포공항,제안건의,터미널
887dd68c74c00032,3,김해공항,불편불만,직원관련
888f48e7bc50dc62,3,김포공항,불편불만,직원관련
2f140bbd8fee2454,3,김포공항,불편불만,직원관련
2f1908ae33ebd55f,3,김해공항,사실확인,공사업무
ec7782217ccf1eab,3,김포공항,불편불만,기타
2f7e1c317680d51e,3,김포공항,불편불만,상업시설
5f3c0eeeb3303fe6,3,김해공항,불편불만,보안검색
56a8dfc804624986,3,김포공항,불편불만,보안검색
56dd6159b9847fba,3,김해공항,불편불만,기타
55627fab57e3245e,3,김포공항,불편불만,주차장
873fe92a86db48c6,3,제주공항,불편불만,직원관련
8a34cbaf00f34ba3,3,김해공항,단순문의,보안검색
d508887f59af0332,3,김포공항,불편불만,직원관련
89839b55e3feaf76,3,김포공항,불편불만,ID체크
1de88a6c624b2268,3,제주공항,불편불만,터미널
1e2eceea2b6cfe44,3,김포공항,불편불만,상업시설
95f97712affafe6a,3,김포공항,제안건의,기타
964b073aa1432f0d,3,김포공항,불편불만,터미널
209d7c6d69755945,3,제주공항,불편불만,직원관련
8d1df641cfa5e1f4,3,김해공항,불편불만,터미널
8d30f928afe6e352,3,제주공항,불편불만,직원관련
8c2db828e111f584,3,제주공항,불편불만,직원관련
8bb68a256d12c40f,3,김포공항,불편불만,직원관련
8bbf521ff364cc6e,3,김해공항,불편불만,직원관련
1e325af33e634190,3,김포공항,불편불만,터미널
d397c399f32edbc2,3,김포공항,불편불만,직원관련
d3f8d7eedf32c2de,3,김포공항,불편불만,직원관련
907bd764b47adce2,3,김해공항,불편불만,기타
8fbdc4e730e04c22,3,김포공항,불편불만,터미널
209ed27d5ed4449c,3,김해공항,불편불만,주차장
1e8e03cff253b523,3,김포공항,불편불만,직원관련
90b9b873690acce2,3,김해공항,불편불만,터미널
57a234e71cf82d8e,3,제주공항,불편불만,직원관련
5720c8023190e93e,3,김포공항,불편불만,보안검색
573c2ad2e93135f8,3,제주공항,불편불만,ID체크
ee0082bef30b16d6,3,본사,VOC기타,공사업무
ee750250c6799bb8,3,김포공항,불편불만,직원관련
4e4248a73e26b2b5,3,청주공항,불편불만,주차장
4e4a4f6e271f17fd,3,대구공항,불편불만,직원관련
4da4f7e65ccb8858,3,김포공항,불편불만,직원관련
4e0dbfabbdaa306a,3,김포공항,불편불만,직원관련
94bc53707fe90d29,3,제주공항,불편불만,직원관련
d26a816801690fa8,3,김포공항,단순문의,기타
d141aa3d57b0e7cf,3,김포공항,불편불만,직원관련
0c1a7cb60dc638dd,3,김포공항,불편불만,상업시설
d457f0e9fd1c8e10,3,김포공항,불편불만,직원관련
1b7a42057b8795f0,3,김포공항,불편불만,연계교통
a012cd4ea0ea7f35,3,김해공항,칭찬,직원관련
98fbe48b288bc6d2,3,김포공항,단순문의,보안검색
9821b2b4425fe8d9,3,제주공항,불편불만,직원관련
978a7dcb4a26dd10,3,제주공항,불편불만,상업시설
1d1e6faea7547cd5,3,김포공항,불편불만,기타
1d3b06a6d996277d,3,김포공항,불편불만,기타
9b882c66eb04958a,3,김해공항,불편불만,직원관련
d12c994797411116,3,김포공항,불편불만,직원관련
0dc30d9d31348e44,3,김해공항,불편불만,주차장
0cc6403cef008687,3,김포공항,불편불만,연계교통
9a5ae37fa4d66975,3,제주공항,불편불만,직원관련
9ab2897d9e38efee,3,김해공항,불편불만,공사업무
1c6407f89bfb75e4,3,김포공항,불편불만,터미널
9279f9e32f1268e2,3,김포공항,불편불만,직원관련
92aa4c9c1f4f5b02,3,제주공항,칭찬,항공사
5067f1e80df58836,3,김해공항,불편불만,주차장
4f3bdda579a15594,3,김포공항,불편불만,직원관련
3225f2b1ba16e7ee,3,김포공항,불편불만,직원관련
f3217d342f93f29f,3,제주공항,불편불만,ID체크
54ad11766c4d99d3,3,본사,불편불만,직원관련
30afd3e284795da5,3,김포공항,불편불만,주차장
49f16f250c5e76e4,3,제주공항,불편불만,직원관련
48fa15bb8c0bce8b,3,제주공항,불편불만,직원관련
3353f860fce4621d,3,김포공항,제안건의,공사업무
1bf65e33702b4d2f,3,김해공항,불편불만,기타
1ae040854d8d12cf,3,김포공항,불편불만,직원관련
cf0d080c166980e2,3,김포공항,제안건의,공사업무
d1af5cc2671fd7ba,3,김포공항,불편불만,직원관련
d06d16de286f80d1,3,김포공항,불편불만,직원관련
9f0ae0b2fcc8d343,3,김포공항,불편불만,상업시설
1b667acef4339fdf,3,김포공항,불편불만,터미널
0f86991ea1edaa5d,3,김포공항,불편불만,터미널
0f891f97d45da173,3,김포공항,불편불만,직원관련
a03b3b49586e05f8,3,김포공항,VOC기타,주차장
9f654ff3960da919,3,김포공항,불편불만,직원관련
9f749d4789f1c5a9,3,제주공항,불편불만,터미널
9f798f07ec811fba,3,김포공항,단순문의,주차장
9fb85edc9797441f,3,김포공항,불편불만,직원관련
a31716b87bcd89da,3,김해공항,불편불만,터미널
a2036a65e159d268,3,제주공항,불편불만,보안검색
cd802537759aa9ad,3,김포공항,불편불만,보안검색
0e9aca57b4c033bc,3,대구공항,불편불만,주차장
99d24d96b2f92b32,3,김포공항,불편불만,직원관련
9df0a816a600310d,3,김포공항,불편불만,보안검색
9e2059f06f3eccdf,3,김포공항,불편불만,직원관련
9db1e5e448a8a8e0,3,제주공항,불편불만,직원관련
9db6b7653a5751a2,3,본사,VOC기타,자회사
0ea698793c008f05,3,김포공항,불편불만,기타
0ec91e0aa62dac74,3,김포공항,불편불만,직원관련
323af209bff98b95,3,제주공항,불편불만,직원관련
4be930d01e451430,3,김포공항,제안건의,기타
32e0418e7f2b30d5,3,김포공항,불편불만,주차장
f3232553a13a1b6e,3,제주공항,불편불만,항공사
030d2b293c92b08a,3,김포공항,불편불만,상업시설
f1a94f943b0421cc,3,김해공항,불편불만,직원관련
3513f6337656fe08,3,김포공항,불편불만,기타
48937aea2ea91fa1,3,김포공항,불편불만,주차장
a4647a0727ff7468,3,청주공항,불편불만,주차장
a42114f2cd7a91f9,3,김포공항,불편불만,직원관련
a6a91e30afb2eb07,3,김포공항,불편불만,직원관련
a6d520a677bc8860,3,김포공항,불편불만,직원관련
a6e4afee7091d476,3,제주공항,불편불만,직원관련
cad2667231caab6c,3,김해공항,VOC기타,공사업무
ae4549ed763da960,3,제주공항,불편불만,상업시설
b20bbe99902b0ab9,3,제주공항,불편불만,직원관련
b16210e4edf5998e,3,본사,VOC기타,공사업무
b1689695ea72d27b,3,제주공항,불편불만,연계교통
c69cfbd7b6713be5,3,청주공항,불편불만,주차장
c57c9a3780191d1b,3,김포공항,불편불만,직원관련
104c2dddb69f860c,3,김포공항,불편불만,연계교통
18c57048559c97b0,3,김포공항,불편불만,직원관련
abdf4d9a48bb6b3b,3,김해공항,VOC기타,공사업무
caeef5561bccbcb1,3,김포공항,불편불만,공사업무
aaa8996bad655739,3,제주공항,불편불만,직원관련
179410d634943411,3,청주공항,불편불만,주차장
ad4fce3517e47879,3,제주공항,불편불만,직원관련
ad1188b4967c696e,3,김포공항,불편불만,직원관련
ac087bf9c79e236c,3,원주공항,불편불만,항공사
aca0b0f3127fc8a8,3,제주공항,불편불만,직원관련
17a40e0101f780f7,3,김해공항,불편불만,직원관련
17f3b4477e03cf48,3,제주공항,불편불만,직원관련
ae9f1125c5557b25,3,무안공항,불편불만,직원관련
f5da269a40ae857c,3,김포공항,불편불만,기타
f40e82a6c1507b1b,3,김포공항,불편불만,직원관련
036433026f7114c1,3,김포공항,불편불만,직원관련
f85c0483972a3c9b,3,김해공항,불편불만,직원관련
47b7b967a218acde,3,김해공항,불편불만,직원관련
47cd1a4c39386d65,3,김포공항,제안건의,터미널
47e4b82b4fe6d11a,3,김포공항,불편불만,터미널
42ac758917303f7f,3,김포공항,불편불만,상업시설
422d427e7e2fcdaa,3,본사,VOC기타,공사업무
424ef76af3f9d0e7,3,김해공항,불편불만,기타
40eaf8e70e6c2163,3,김포공항,불편불만,터미널
40717137f651e213,3,김포공항,제안건의,터미널
ae17b12c6024b068,3,김포공항,불편불만,직원관련
c4f8805393d999cb,3,김해공항,불편불만,기타
c56de4aad7f3177f,3,김해공항,불편불만,직원관련
b96ccd5a18be23ea,3,김포공항,불편불만,직원관련
b8a2d5f5a5b0da3d,3,김포공항,불편불만,직원관련
b7d2c1bc0efac7cf,3,김포공항,불편불만,보안검색
b037c4cbb01c0ea9,3,김포공항,불편불만,ID체크
af902d5e1048a0a3,3,김포공항,불편불만,직원관련
b354b31e995ac36c,3,김포공항,제안건의,기타
b38b7941a99acd74,3,김포공항,불편불만,기타
b3a5e371f07e6ed9,3,제주공항,불편불만,직원관련
b2f9d24d45f5a57e,3,김포공항,불편불만,연계교통
c45b7a40d00d9a01,3,제주공항,불편불만,직원관련
0fca9f7bf2f2e7e4,3,김해공항,불편불만,보안검색
b4dc16d8c734ce72,3,제주공항,불편불만,주차장
b47b92582433c253,3,제주공항,불편불만,터미널
b3d61dcad7512ff9,3,김해공항,VOC기타,공사업무
bef0fa2bcb30eaa0,3,김포공항,단순문의,기타
fd9bda5acd40d48c,3,제주공항,불편불만,주차장
3c5531a3c0c0247f,3,김포공항,불편불만,직원관련
3b87bd7892ba579f,3,제주공항,불편불만,직원관련
3b7cbde110c54bc3,3,김포공항,불편불만,직원관련
bfb6848e5d86e70b,3,김포공항,칭찬,직원관련
fde17517251bb699,3,김해공항,불편불만,직원관련
fd21d88b382fdee1,3,김해공항,불편불만,직원관련
016bb921f0e3dd7f,3,김포공항,불편불만,직원관련
380c21f380542564,3,김포공항,불편불만,기타
00f82e4f8d1cc718,3,김포공항,불편불만,공사업무
3b06839de7585ad6,3,김포공항,불편불만,터미널
b73e9ce33745a725,3,김해공항,불편불만,직원관련
b5f7c4b235e2cb3a,3,김포공항,불편불만,터미널
3592d816260c29c8,3,김포공항,불편불만,직원관련
359708fb57a0db9e,3,제주공항,불편불만,직원관련
